MFR,Model,EmissionsRate,FinalSales,FPT,Type
HON,PILOT,361.2601626,28072,50.05,truck
HON,ACURA,325.5311355,26885,49.5,car
HON,ODYSSEY,371.8410042,24299,54.12916667,truck
HON,RIDGELINE,403.9545455,13468,55.91666667,truck
HON,ACCORD,306.4482759,11317,48.125,car
HON,ACCORD,349.8818898,1500,48.125,car
HON,ACCORD,277.71875,215603,49.04166667,car
HON,CR-V,308.5763889,104303,47.25416667,truck
HON,CR-V,299.2255892,67640,47.25416667,truck
HON,ACURA,275.1393189,34870,49.5,car
HON,ACCORD,281.2341772,25244,48.125,car
HON,ELEMENT,324.3430657,5972,46.475,truck
HON,ELEMENT,314.0282686,4900,46.475,truck
HON,ACCORD,268.489426,4235,49.04166667,car
HON,ACURA,298.2214765,2436,49.5,car
HON,ACCORD,266.8768769,1620,48.125,car
HON,ELEMENT,337.9087452,240,46.475,truck
HON,ELEMENT,336.6287879,2,46.475,truck
HON,ACURA,367.231405,8690,47.80416667,truck
HON,S2000,340.4980843,357,43.08333333,car
HON,CIVIC,289.4788274,13887,47.66666667,car
HON,CIVIC,226.1323155,231674,47.66666667,car
HON,CIVIC,226.7091837,12144,47.66666667,car
HON,CIVIC,35.53378649,1590,47.66666667,car
HON,FIT,223.2914573,51612,44.45833333,car
HON,FIT,222.7318296,16344,44.45833333,car
HON,FIT,215.1815981,15809,44.45833333,car
HON,CIVIC,151.1394558,19131,47.20833333,car
HYU,GENESIS,353.0622298,6521,48.58333333,car
HYU,GENESIS,317.8594294,12983,48.58333333,car
HYU,AZERA,340.7396047,3387,48.58333333,car
HYU,VERA CRUZ,376.8152812,1476,50.6,truck
HYU,VERA CRUZ,390.6837295,712,50.6,truck
HYU,SONATA,302.5444097,32110,48.58333333,car
HYU,SANTA FE,348.1604147,22891,48.72083333,truck
HYU,SANTA FE,356.8374095,12436,48.72083333,truck
HYU,AZERA,323.9174807,1675,48.58333333,car
HYU,SANTA FE,332.9711502,28021,48.72083333,truck
HYU,SANTA FE,357.6833293,13910,48.72083333,truck
HYU,TUCSON,343.7937624,1813,47.4375,truck
HYU,TUCSON,332.6085085,1464,47.4375,truck
HYU,SANTA FE,346.02386,489,48.72083333,truck
HYU,SANTA FE,352.0482338,110,48.72083333,truck
HYU,SONATA,267.8105949,124576,48.58333333,car
HYU,SONATA,271.3148712,3089,48.58333333,car
HYU,ELANTRA,242.4703767,64299,45.83333333,car
HYU,TUCSON,307.5980562,7470,47.4375,truck
HYU,ELANTRA,257.3502796,7467,48.58333333,car
HYU,ELANTRA,244.8000309,4185,45.83333333,car
HYU,ELANTRA,257.6240724,686,48.58333333,car
HYU,TUCSON,305.8408127,285,47.4375,truck
HYU,ACCENT,228.4599327,49786,45.83333333,car
HYU,ACCENT,225.215408,9923,45.83333333,car
JAG,RANGE ROVER,499.2696629,6244,49.54583333,truck
JAG,RANGE ROVER,499.2696629,1300,51.975,truck
JAG,LR3,485.6284153,830,52.06666667,truck
JAG,JAGUAR,358.3467742,9519,54.54166667,car
JAG,JAGUAR,358.3467742,3434,52.70833333,car
JAG,RANGE ROVER,485.6284153,1932,49.54583333,truck
JAG,RANGE ROVER,485.6284153,1070,51.975,truck
JAG,JAGUAR,358.3467742,563,46.75,car
JAG,JAGUAR,386.3913043,389,46.75,car
JAG,JAGUAR,358.3467742,340,46.75,car
JAG,JAGUAR,386.3913043,307,46.75,car
JAG,JAGUAR,386.3913043,230,54.54166667,car
